Tempo origine (UTC),Magnitudo,Latitudine N,Longitudine E,Profondità (km)
2000/08/22 14:17:1.36,1.4,40.8258,14.1477,2.17,Revisionato
2000/08/22 15:05:56.84,1.6,40.8267,14.1487,2.75,Revisionato
2000/08/22 15:58:2.27,2.2,40.8278,14.1448,2.68,Revisionato
2000/08/22 17:31:35.54,1.9,40.8370,14.1527,0.06,Revisionato
2000/08/22 18:20:54.53,1.4,40.8255,14.1485,2.00,Revisionato
2002/12/25 06:35:59.16,1.0,40.8427,14.1608,2.00,Revisionato
2003/02/18 15:32:23.20,1.7,40.8330,14.1790,1.40,Revisionato
2003/03/02 06:58:11.27,0.9,40.8252,14.1462,1.87,Revisionato
2003/11/26 17:13:26.29,1.4,40.8172,14.1897,0.85,Revisionato
2005/03/22 17:08:20.13,0.4,40.8248,14.1517,1.39,Revisionato
2005/03/27 00:56:2.91,-0.5,40.8262,14.1473,1.00,Revisionato
2005/05/28 21:26:45.25,0.8,40.8313,14.1517,1.14,Revisionato
2005/06/08 01:08:12.34,0.4,40.8427,14.1938,2.00,Revisionato
2005/09/24 08:57:27.34,0.6,40.8430,14.1293,2.00,Revisionato
2005/10/05 12:38:34.80,0.7,40.8265,14.1475,2.00,Revisionato
2005/10/05 13:33:25.23,0.6,40.8340,14.1517,1.26,Revisionato
2005/10/05 15:26:40.78,-0.1,40.8323,14.1517,1.61,Revisionato
2005/10/05 16:18:1.93,1.1,40.8287,14.1517,2.28,Revisionato
2005/10/05 16:45:7.73,0.6,40.8373,14.1448,1.71,Revisionato
2005/11/05 06:16:18.44,1.2,40.8315,14.1570,3.24,Revisionato
2006/01/29 19:52:2.97,0.6,40.8418,14.1290,2.00,Revisionato
2006/02/06 09:33:14.60,0.4,40.8228,14.1772,2.00,Revisionato
2006/03/01 14:57:0.94,0.7,40.8498,14.1158,1.17,Revisionato
2006/04/08 07:09:32.87,0.9,40.8253,14.1455,1.57,Revisionato
2006/05/23 02:46:58.55,0.2,40.8292,14.1428,1.15,Revisionato
2006/08/29 00:47:11.20,0.6,40.8192,14.1402,2.00,Revisionato
2006/09/05 20:20:53.66,0.4,40.8227,14.1517,1.83,Revisionato
2006/09/13 01:12:4.74,0.5,40.8230,14.1402,0.33,Revisionato
2006/10/19 23:10:31.06,0.2,40.8213,14.1470,1.10,Revisionato
2006/10/20 09:51:11.83,0.4,40.8338,14.1442,0.21,Revisionato
2006/10/20 16:50:50.81,-0.1,40.8202,14.1442,1.33,Revisionato
2006/10/21 14:12:0.98,-0.3,40.8223,14.1517,1.61,Revisionato
2006/10/22 02:06:22.96,-0.5,40.8197,14.1438,1.55,Revisionato
2006/10/22 05:55:20.11,-0.5,40.8220,14.1340,2.00,Revisionato
2006/10/23 08:06:33.14,0.1,40.8285,14.1608,1.48,Revisionato
2006/10/23 08:06:49.60,0.1,40.8220,14.1398,1.12,Revisionato
2006/10/23 08:07:33.58,0.8,40.8237,14.1533,1.73,Revisionato
2006/10/23 08:08:17.06,0.6,40.8230,14.1565,1.71,Revisionato
2006/10/23 08:09:45.19,0.7,40.8315,14.1470,2.00,Revisionato
2006/10/23 08:10:36.32,0.6,40.8313,14.1517,1.09,Revisionato
2006/10/23 08:11:50.43,0.7,40.8313,14.1450,1.49,Revisionato
2006/10/23 08:13:35.61,0.4,40.8313,14.1563,1.30,Revisionato
2006/10/23 08:18:16.25,0.6,40.8248,14.1517,1.72,Revisionato
2006/10/25 22:18:40.93,0.2,40.8315,14.1402,1.11,Revisionato
2006/10/26 03:19:38.66,-0.3,40.8233,14.1603,1.13,Revisionato
2006/10/26 04:10:13.82,0.1,40.8293,14.1420,1.48,Revisionato
2006/10/26 04:12:19.60,-0.5,40.8250,14.1517,1.84,Revisionato
2006/10/26 04:53:10.31,0.5,40.8313,14.1458,1.64,Revisionato
2006/10/26 22:49:38.83,-0.1,40.8253,14.1517,2.00,Revisionato
2006/10/28 17:58:3.92,0.2,40.8197,14.1563,1.61,Revisionato
2006/12/20 23:53:5.67,1.1,40.8263,14.1488,1.83,Revisionato
2006/12/21 22:25:31.84,1.4,40.8378,14.1435,1.16,Revisionato
2006/12/21 22:42:16.04,1.1,40.8385,14.1458,0.94,Revisionato
2007/02/08 01:07:41.42,0.5,40.8220,14.1425,2.00,Revisionato
2008/01/03 01:03:38.77,-0.3,40.8255,14.1523,1.65,Revisionato
2008/01/05 19:06:13.71,0.1,40.8240,14.1517,2.00,Revisionato
2008/01/05 19:09:58.68,-0.3,40.8228,14.1517,1.68,Revisionato
2008/01/05 19:10:7.61,-0.3,40.8313,14.1492,1.58,Revisionato
2008/01/05 19:17:56.34,0.7,40.8257,14.1498,1.89,Revisionato
2008/01/05 19:20:40.20,-0.3,40.8313,14.1432,2.00,Revisionato
2008/01/20 00:55:17.64,0.4,40.8315,14.1427,1.88,Revisionato
2008/01/20 00:55:29.50,0.1,40.8353,14.1402,2.00,Revisionato
2008/01/20 01:00:32.00,0.1,40.8358,14.1385,1.63,Revisionato
2008/02/04 20:44:33.68,-0.1,40.8432,14.1208,1.61,Revisionato
2008/02/04 20:46:34.57,1.2,40.8402,14.1205,2.00,Revisionato
2008/02/13 11:50:30.00,-0.3,40.8212,14.1517,1.21,Revisionato
2008/02/19 08:40:48.91,0.4,40.8392,14.1813,4.17,Revisionato
2008/02/19 12:48:41.28,1.6,40.8480,14.1910,3.70,Revisionato
2008/10/10 11:56:59.38,0.5,40.8408,14.1417,1.06,Revisionato
2008/11/10 03:01:17.25,-0.1,40.8313,14.1517,1.00,Revisionato
2009/01/23 05:33:47.76,-0.5,40.8290,14.1672,0.10,Revisionato
2009/01/23 05:40:19.59,-0.5,40.8260,14.1680,0.52,Revisionato
2009/01/23 05:42:36.95,0.0,40.8313,14.1563,1.83,Revisionato
2009/01/23 05:48:43.51,-0.5,40.8313,14.1553,1.56,Revisionato
2009/01/23 05:49:2.32,-1.0,40.8315,14.1402,2.54,Revisionato
2009/01/23 05:51:36.19,-0.8,40.8333,14.1607,0.14,Revisionato
2009/02/15 06:02:13.14,0.8,40.8522,14.1528,0.75,Revisionato
2009/05/04 09:31:27.28,0.2,40.8315,14.1492,1.83,Revisionato
2009/05/04 09:40:38.99,0.2,40.8217,14.1360,0.27,Revisionato
2009/05/04 09:49:41.53,0.2,40.8313,14.1422,2.00,Revisionato
2009/05/23 19:30:15.52,-0.8,40.8330,14.1222,2.00,Revisionato
2009/05/23 19:47:6.00,-0.1,40.8283,14.1322,2.00,Revisionato
2009/05/23 21:11:36.09,-0.8,40.8175,14.1382,2.00,Revisionato
2009/05/25 18:01:0.29,0.1,40.8220,14.1278,2.00,Revisionato
2009/06/13 03:40:44.11,0.9,40.8230,14.1488,1.11,Revisionato
2010/01/29 17:34:48.27,1.1,40.8427,14.1608,4.30,Revisionato
2010/03/30 16:15:23.23,-0.5,40.8302,14.1655,0.08,Revisionato
2010/03/30 16:20:43.57,-0.1,40.8245,14.1670,0.81,Revisionato
2010/03/30 16:22:40.09,-0.3,40.8313,14.1517,1.46,Revisionato
2010/03/30 16:24:3.10,0.6,40.8257,14.1647,0.72,Revisionato
2010/03/30 16:24:36.77,0.9,40.8293,14.1492,2.29,Revisionato
2010/03/30 16:25:46.34,1.0,40.8313,14.1517,1.84,Revisionato
2010/03/30 16:27:8.04,-0.1,40.8313,14.1517,2.23,Revisionato
2010/03/30 16:28:24.07,0.8,40.8313,14.1535,2.30,Revisionato
2010/03/30 16:29:5.94,1.1,40.8292,14.1517,2.32,Revisionato
2010/03/30 16:30:53.80,1.0,40.8292,14.1517,1.82,Revisionato
2010/03/30 16:31:31.79,0.6,40.8280,14.1482,2.53,Revisionato
2010/03/30 16:33:42.86,-0.3,40.8313,14.1517,2.00,Revisionato
2010/03/30 16:34:27.53,1.2,40.8313,14.1517,1.83,Revisionato
2010/03/30 16:36:23.26,-0.1,40.8313,14.1498,2.42,Revisionato
2010/03/30 16:36:45.86,0.1,40.8313,14.1517,1.75,Revisionato
2010/03/30 16:38:23.20,0.2,40.8300,14.1502,2.25,Revisionato
2010/03/30 16:38:49.51,0.2,40.8393,14.1403,0.11,Revisionato
2010/03/30 16:40:23.63,1.2,40.8313,14.1517,1.86,Revisionato
2010/03/30 17:16:8.80,0.5,40.8348,14.1458,1.89,Revisionato
2010/07/07 13:12:0.28,-0.3,40.8238,14.1402,2.48,Revisionato
2010/07/07 13:16:35.80,-0.1,40.8220,14.1407,2.00,Revisionato
2010/07/07 16:36:55.94,-0.1,40.8315,14.1318,2.00,Revisionato
2010/07/26 19:40:3.40,-0.5,40.8228,14.1337,1.50,Revisionato
2010/10/01 07:37:46.90,-0.5,40.8427,14.1422,0.46,Revisionato
2010/11/06 16:22:0.96,0.8,40.9025,14.1028,3.54,Revisionato
2011/02/05 16:26:31.49,-0.3,40.8265,14.1792,3.57,Revisionato
2011/02/07 07:04:3.01,1.1,40.8417,14.1388,2.00,Revisionato
2011/04/10 12:11:11.65,1.4,40.8687,14.1158,2.00,Revisionato
2011/04/18 01:44:18.87,-0.3,40.8285,14.1377,2.38,Revisionato
2011/04/30 00:35:54.16,-0.5,40.8315,14.1323,1.64,Revisionato
2011/04/30 00:46:2.95,-0.5,40.8295,14.1315,1.72,Revisionato
2011/05/13 01:07:28.41,-0.8,40.8315,14.1493,1.54,Revisionato
2011/05/13 01:28:33.52,-1.0,40.8315,14.1465,1.01,Revisionato
2011/05/13 02:26:40.87,-0.5,40.8315,14.1387,2.22,Revisionato
2011/05/18 16:39:12.93,0.7,40.8427,14.1730,2.26,Revisionato
2011/05/19 00:39:55.65,1.5,40.8427,14.1688,2.45,Revisionato
2011/07/10 03:01:59.30,0.0,40.8235,14.1427,0.01,Revisionato
2011/07/10 03:02:0.23,0.5,40.8315,14.1402,2.00,Revisionato
2011/09/02 19:34:53.17,0.2,40.8325,14.1573,2.04,Revisionato
2011/09/08 02:56:11.79,1.2,40.8212,14.1447,2.34,Revisionato
2011/09/08 03:01:27.63,0.7,40.8260,14.1458,1.61,Revisionato
2011/11/28 17:40:6.81,0.7,40.8228,14.1625,2.58,Revisionato
2011/12/03 21:30:48.39,-0.3,40.8407,14.1380,1.05,Revisionato
2012/01/14 07:42:40.95,0.2,40.8313,14.1495,2.00,Revisionato
2012/01/22 08:01:5.69,-0.3,40.8220,14.1355,2.00,Revisionato
2012/01/31 18:47:1.98,-0.3,40.8390,14.1628,0.94,Revisionato
2012/02/10 00:29:9.90,0.1,40.8427,14.1457,1.41,Revisionato
2012/02/11 03:52:9.49,-0.1,40.8240,14.1512,0.82,Revisionato
2012/02/25 17:47:42.91,-0.5,40.8315,14.1428,0.97,Revisionato
2012/03/29 08:27:58.76,-0.3,40.8313,14.1380,0.49,Revisionato
2012/04/11 23:07:17.84,-0.3,40.8397,14.1653,2.00,Revisionato
2012/04/11 23:08:22.06,-0.5,40.8427,14.1608,4.17,Revisionato
2012/04/11 23:15:41.39,-0.8,40.8427,14.1608,4.65,Revisionato
2012/04/12 21:45:52.35,-0.1,40.8457,14.1623,2.00,Revisionato
2012/04/19 16:40:30.78,0.1,40.8220,14.1347,2.00,Revisionato
2012/04/19 16:44:38.20,0.4,40.8220,14.1365,2.00,Revisionato
2012/04/19 16:45:6.08,-0.8,40.8220,14.1347,2.00,Revisionato
2012/04/19 16:53:8.15,-0.3,40.8220,14.1337,2.00,Revisionato
2012/04/19 19:34:1.05,0.8,40.8250,14.1327,2.00,Revisionato
2012/04/19 19:56:42.32,1.4,40.8233,14.1345,2.00,Revisionato
2012/04/19 19:57:22.69,0.2,40.8197,14.1325,0.63,Revisionato
2012/04/19 19:58:16.38,-0.3,40.8188,14.1365,2.00,Revisionato
2012/04/20 04:29:5.22,0.8,40.8153,14.1307,1.62,Revisionato
2012/04/20 04:29:29.95,1.1,40.8235,14.1300,2.00,Revisionato
2012/04/20 04:30:46.15,-0.5,40.8220,14.1282,2.00,Revisionato
2012/04/20 04:45:53.26,1.1,40.8228,14.1290,2.67,Revisionato
2012/04/20 05:04:13.85,-0.3,40.8220,14.1337,2.00,Revisionato
2012/04/20 05:32:31.58,-0.3,40.8220,14.1348,2.78,Revisionato
2012/04/22 21:37:40.55,0.4,40.8220,14.1343,2.00,Revisionato
2012/05/27 22:26:38.91,-0.5,40.8207,14.1383,1.53,Revisionato
2012/05/27 23:05:48.22,-1.0,40.8220,14.1422,2.00,Revisionato
2012/06/01 21:55:28.10,0.1,40.8273,14.1485,1.30,Revisionato
2012/06/01 22:51:23.57,0.1,40.8310,14.1517,1.00,Revisionato
2012/06/05 01:55:36.40,0.4,40.8243,14.1307,1.58,Revisionato
2012/07/06 03:05:48.56,0.2,40.8082,14.1913,2.81,Revisionato
2012/08/02 13:55:44.02,0.2,40.8313,14.1440,1.40,Revisionato
2012/08/04 01:08:16.53,-0.5,40.8223,14.1402,2.74,Revisionato
2012/08/04 01:09:13.01,-0.1,40.8220,14.1342,1.00,Revisionato
2012/08/04 01:09:13.01,-0.5,40.8220,14.1342,1.00,Revisionato
2012/08/04 01:24:57.43,0.1,40.8220,14.1352,1.69,Revisionato
2012/08/04 17:24:48.63,-0.5,40.8220,14.1410,2.00,Revisionato
2012/08/22 07:01:35.00,0.2,40.8352,14.1525,2.00,Revisionato
2012/09/01 03:48:22.83,0.7,40.8270,14.1218,2.00,Revisionato
2012/09/01 04:02:31.43,1.0,40.8222,14.1130,2.00,Revisionato
2012/09/01 04:37:38.38,1.0,40.8237,14.1158,2.00,Revisionato
2012/09/01 06:09:22.99,-0.1,40.8238,14.1158,2.00,Revisionato
2012/09/07 07:15:46.26,0.1,40.8348,14.1187,3.23,Revisionato
2012/09/07 07:16:25.30,-0.5,40.8367,14.1158,3.38,Revisionato
2012/09/07 07:18:21.33,-0.3,40.8367,14.1158,3.61,Revisionato
2012/09/07 07:19:42.83,-1.0,40.8367,14.1205,4.02,Revisionato
2012/09/07 07:21:20.15,0.1,40.8367,14.1158,2.99,Revisionato
2012/09/07 07:22:30.79,-0.8,40.8395,14.1192,2.81,Revisionato
2012/09/07 07:23:34.63,-0.3,40.8403,14.1188,3.19,Revisionato
2012/09/07 07:23:42.22,0.1,40.8367,14.1158,2.95,Revisionato
2012/09/07 07:23:53.30,-0.8,40.8367,14.1117,2.75,Revisionato
2012/09/07 07:24:39.72,0.9,40.8367,14.1158,2.80,Revisionato
2012/09/07 07:25:54.27,0.6,40.8390,14.1177,2.99,Revisionato
2012/09/07 07:27:26.45,0.9,40.8395,14.1158,3.06,Revisionato
2012/09/07 07:28:16.44,-1.0,40.8388,14.1188,2.67,Revisionato
2012/09/07 07:29:27.99,-0.5,40.8367,14.1158,2.77,Revisionato
2012/09/07 07:29:35.31,-0.5,40.8392,14.1103,2.95,Revisionato
2012/09/07 07:31:27.07,0.9,40.8367,14.1158,2.82,Revisionato
2012/09/07 07:33:17.35,0.1,40.8410,14.1102,2.82,Revisionato
2012/09/07 07:34:14.12,1.7,40.8367,14.1110,3.07,Revisionato
2012/09/07 07:35:25.40,-0.5,40.8367,14.1133,3.07,Revisionato
2012/09/07 07:39:46.84,-0.3,40.8390,14.1158,2.97,Revisionato
2012/09/07 07:43:53.33,-0.1,40.8388,14.1102,2.95,Revisionato
2012/09/07 07:49:12.06,1.1,40.8367,14.1158,3.00,Revisionato
2012/09/07 07:51:46.78,0.2,40.8367,14.1158,3.13,Revisionato
2012/09/07 07:55:27.48,-0.3,40.8367,14.1158,3.03,Revisionato
2012/09/07 07:55:34.11,0.2,40.8395,14.1183,3.22,Revisionato
2012/09/07 07:59:18.36,0.4,40.8390,14.1158,3.09,Revisionato
2012/09/07 08:00:46.81,0.5,40.8405,14.1190,2.78,Revisionato
2012/09/07 08:03:27.60,1.2,40.8388,14.1158,3.11,Revisionato
2012/09/07 08:13:19.37,0.9,40.8417,14.1158,2.97,Revisionato
2012/09/07 08:17:32.84,0.2,40.8395,14.1158,3.47,Revisionato
2012/09/07 08:21:48.26,0.8,40.8452,14.1215,2.62,Revisionato
2012/09/07 08:25:0.89,1.7,40.8407,14.1133,2.16,Revisionato
2012/09/07 08:26:56.08,0.1,40.8390,14.1143,2.95,Revisionato
2012/09/07 08:28:48.45,-0.5,40.8367,14.1158,3.07,Revisionato
2012/09/07 08:32:5.45,0.8,40.8367,14.1158,3.05,Revisionato
2012/09/07 08:36:3.02,0.6,40.8367,14.1190,3.61,Revisionato
2012/09/07 08:40:28.89,0.2,40.8398,14.1128,2.94,Revisionato
2012/09/07 08:41:50.63,-0.1,40.8367,14.1158,3.33,Revisionato
2012/09/07 08:42:19.97,-0.3,40.8405,14.1163,2.00,Revisionato
2012/09/07 08:47:0.82,1.0,40.8400,14.1158,3.11,Revisionato
2012/09/07 08:52:59.33,-0.5,40.8367,14.1158,3.11,Revisionato
2012/09/07 08:54:45.57,-0.1,40.8385,14.1122,2.98,Revisionato
2012/09/07 09:02:16.08,0.1,40.8405,14.1182,2.96,Revisionato
2012/09/07 09:04:36.50,-0.5,40.8397,14.1158,2.52,Revisionato
2012/09/07 09:06:56.89,-0.1,40.8428,14.1120,2.92,Revisionato
2012/09/07 09:24:21.63,-0.1,40.8432,14.1127,3.19,Revisionato
2012/09/21 09:26:20.17,0.7,40.8490,14.1187,1.38,Revisionato
2012/10/04 23:43:44.43,0.1,40.8315,14.1337,2.36,Revisionato
2012/10/11 22:11:53.14,-0.1,40.8382,14.1435,2.38,Revisionato
2012/10/14 15:22:29.94,0.2,40.8237,14.1438,0.66,Revisionato
2012/10/16 00:05:52.93,1.8,40.8228,14.1465,1.56,Revisionato
2012/10/27 03:09:46.50,0.5,40.8237,14.1348,2.25,Revisionato
2012/10/27 07:33:34.43,0.2,40.8243,14.1353,2.00,Revisionato
2012/12/13 05:00:24.57,-0.5,40.8220,14.1420,2.52,Revisionato
2012/12/16 06:50:59.88,-0.5,40.8228,14.1462,1.61,Revisionato
2012/12/25 18:10:28.26,0.4,40.8215,14.1487,1.25,Revisionato
2012/12/26 06:33:1.77,0.1,40.8220,14.1713,2.69,Revisionato
2012/12/31 00:36:52.07,0.2,40.8297,14.1302,1.75,Revisionato
2013/01/05 20:44:12.07,0.1,40.8313,14.1435,0.20,Revisionato
2013/01/23 23:44:27.68,-0.1,40.8220,14.1273,0.46,Revisionato
2013/01/26 09:33:7.66,-0.1,40.8397,14.1375,1.55,Revisionato
2013/01/26 10:42:34.82,0.2,40.8430,14.1367,1.00,Revisionato
2013/01/26 12:12:36.64,-0.5,40.8407,14.1340,1.11,Revisionato
2013/01/30 23:05:34.32,0.2,40.8315,14.1528,2.00,Revisionato
2013/01/31 23:23:20.67,-0.5,40.8315,14.1507,1.70,Revisionato
2013/02/04 22:41:33.40,-0.8,40.8313,14.1472,2.18,Revisionato
2013/02/07 00:14:26.27,-0.3,40.8217,14.1402,2.93,Revisionato
2013/02/15 10:11:29.25,-0.8,40.8207,14.1455,0.91,Revisionato
2013/03/30 10:21:35.14,-0.8,40.8252,14.1402,3.97,Revisionato
2013/04/03 02:09:50.87,-0.3,40.8315,14.1388,1.72,Revisionato
2013/04/05 21:55:34.75,-0.8,40.8240,14.1412,2.00,Revisionato
2013/04/09 03:55:18.27,-0.3,40.8223,14.1402,1.78,Revisionato
2013/05/12 02:41:59.50,-0.5,40.8313,14.1500,1.90,Revisionato
2014/02/15 06:00:14.26,0.1,40.8688,14.0843,7.24,Revisionato
2014/03/20 04:36:23.34,0.9,40.8260,14.1516,1.80,Revisionato
2014/03/23 22:20:32.09,-0.1,40.8313,14.1567,2.00,Revisionato
2014/03/31 23:08:0.93,-0.1,40.8313,14.1467,2.00,Revisionato
2014/03/31 23:22:7.44,0.7,40.8313,14.1408,2.00,Revisionato
2014/04/06 05:10:27.86,0.1,40.8307,14.1478,1.94,Revisionato
2014/04/06 05:31:52.92,0.1,40.8235,14.1517,1.62,Revisionato
2014/06/13 20:02:1.11,0.5,40.8223,14.1517,1.24,Revisionato
2014/06/26 09:38:18.63,0.4,40.8318,14.1665,3.12,Revisionato
2014/07/30 16:30:58.52,-0.8,40.8242,14.1423,0.64,Revisionato
2014/07/30 16:51:38.23,-0.5,40.8263,14.1413,0.78,Revisionato
2014/07/30 16:59:26.69,-0.8,40.8267,14.1432,0.45,Revisionato
2014/07/31 11:20:11.36,-0.8,40.8285,14.1422,0.74,Revisionato
2014/07/31 16:13:35.83,-0.8,40.8315,14.1387,0.92,Revisionato
2014/08/01 16:06:17.47,0.4,40.8248,14.1278,1.55,Revisionato
2014/08/01 16:53:41.70,0.2,40.8233,14.1355,2.43,Revisionato
2014/08/02 18:06:20.57,0.4,40.8227,14.1430,0.85,Revisionato
2014/08/03 15:53:18.19,-0.5,40.8222,14.1358,1.69,Revisionato
2014/08/03 16:00:27.05,0.8,40.8222,14.1358,2.00,Revisionato
2014/08/03 16:00:47.48,0.7,40.8250,14.1325,2.00,Revisionato
2014/08/04 01:35:12.96,-0.3,40.8212,14.1433,0.31,Revisionato
2014/08/04 01:36:18.19,-0.5,40.8217,14.1430,0.35,Revisionato
2014/08/07 13:48:3.39,-0.5,40.8198,14.1370,0.32,Revisionato
2014/08/07 13:48:31.75,0.2,40.8207,14.1360,2.00,Revisionato
2014/08/07 15:41:56.46,0.6,40.8207,14.1360,1.76,Revisionato
2014/08/07 23:57:20.50,0.2,40.8215,14.1365,3.64,Revisionato
2014/08/10 13:09:48.35,0.4,40.8185,14.1370,1.10,Revisionato
2014/08/10 14:24:2.27,0.6,40.8187,14.1358,1.53,Revisionato
2014/08/10 16:01:4.09,0.2,40.8207,14.1360,1.14,Revisionato
2014/08/12 22:12:54.51,0.2,40.8208,14.1517,1.46,Revisionato
2014/08/12 22:18:44.11,0.4,40.8207,14.1450,1.06,Revisionato
2014/08/30 15:51:51.66,0.1,40.8230,14.1425,0.15,Revisionato
2014/08/30 22:15:17.53,-0.1,40.8240,14.1425,0.95,Revisionato
2014/09/03 12:14:31.93,-0.3,40.8227,14.1342,1.45,Revisionato
2014/09/03 12:14:42.26,-1.0,40.8190,14.1368,1.00,Revisionato
2014/09/04 18:54:37.14,0.9,40.8220,14.1132,0.92,Revisionato
2014/09/04 18:55:3.76,1.0,40.8220,14.1165,2.00,Revisionato
2014/09/04 19:55:32.18,0.9,40.8220,14.1187,2.00,Revisionato
2014/09/04 20:44:21.42,0.7,40.8220,14.1172,1.34,Revisionato
2014/09/05 14:30:51.37,0.1,40.8212,14.1458,1.34,Revisionato
2014/09/10 03:09:29.62,0.2,40.8220,14.1222,2.00,Revisionato
2014/09/10 13:59:34.74,-0.5,40.8220,14.1315,0.93,Revisionato
2014/09/16 01:01:47.16,-0.8,40.8220,14.1312,1.35,Revisionato
2014/09/16 01:05:44.46,-1.0,40.8180,14.1347,1.54,Revisionato
2014/09/16 01:05:57.57,-0.8,40.8192,14.1322,1.33,Revisionato
2014/09/16 01:06:33.95,0.5,40.8315,14.1453,2.12,Revisionato
2014/09/16 01:21:19.78,1.0,40.8200,14.1333,1.20,Revisionato
2014/09/16 01:34:1.38,0.2,40.8232,14.1303,1.00,Revisionato
2014/09/16 01:45:12.93,1.0,40.8187,14.1358,1.58,Revisionato
2014/09/16 04:17:37.93,0.1,40.8187,14.1405,1.65,Revisionato
2014/09/16 08:30:11.04,0.4,40.8213,14.1418,0.11,Revisionato
2014/09/16 19:56:17.83,0.4,40.8248,14.1260,2.00,Revisionato
