Tempo origine (UTC),Magnitudo,Latitudine N,Longitudine E,Profondit√† (km)
2014/09/16 21:09:31.24,0.2,40.8155,14.1653,3.20,Revisionato
2014/09/16 21:11:4.62,0.1,40.8147,14.1667,2.83,Revisionato
2014/09/19 19:48:30.91,0.9,40.8268,14.1233,2.00,Revisionato
2014/09/20 22:08:6.24,-0.1,40.8228,14.1255,2.61,Revisionato
2014/09/20 22:09:41.54,0.6,40.8207,14.1283,2.20,Revisionato
2014/09/21 07:30:4.08,-0.3,40.8213,14.1440,0.12,Revisionato
2014/09/21 07:32:38.70,0.1,40.8222,14.1432,0.06,Revisionato
2014/09/21 07:32:56.46,-0.3,40.8220,14.1402,2.00,Revisionato
2014/09/21 07:34:50.49,-0.8,40.8225,14.1422,0.68,Revisionato
2014/09/21 16:19:56.98,-0.3,40.8217,14.1448,0.56,Revisionato
2014/09/25 04:21:26.39,-0.1,40.8222,14.1443,0.14,Revisionato
2014/09/26 10:45:10.49,-0.1,40.8315,14.1350,2.08,Revisionato
2014/09/28 02:47:28.85,0.1,40.8207,14.1392,1.27,Revisionato
2014/09/28 03:39:40.28,-0.3,40.8230,14.1387,1.67,Revisionato
2014/09/28 11:25:47.33,-0.1,40.8200,14.1462,0.16,Revisionato
2014/10/04 06:22:45.49,-0.1,40.8203,14.1443,0.17,Revisionato
2014/10/04 06:55:30.86,-0.3,40.8207,14.1438,0.14,Revisionato
2014/10/12 01:53:41.72,0.1,40.8247,14.1383,1.21,Revisionato
2014/10/23 10:24:5.99,-0.5,40.8190,14.1402,0.96,Revisionato
2014/10/25 19:29:28.96,0.5,40.8207,14.1488,1.62,Revisionato
2014/10/25 19:30:5.10,-0.3,40.8255,14.1415,1.18,Revisionato
2014/10/25 19:30:12.15,-0.3,40.8212,14.1487,1.56,Revisionato
2014/10/25 22:34:35.02,0.4,40.8203,14.1517,1.65,Revisionato
2014/10/30 12:53:59.16,0.1,40.8213,14.1435,0.44,Revisionato
2014/10/30 12:54:47.05,-1.0,40.8247,14.1420,1.30,Revisionato
2014/10/30 12:54:51.02,1.9,40.8228,14.1455,0.83,Revisionato
2014/11/21 17:46:59.59,-0.3,40.8228,14.1433,0.18,Revisionato
2014/11/21 17:47:18.74,-0.8,40.8250,14.1467,0.28,Revisionato
2014/11/21 17:47:40.98,-0.8,40.8225,14.1438,0.20,Revisionato
2014/11/21 17:47:47.42,-1.0,40.8223,14.1440,0.38,Revisionato
2014/11/21 17:48:47.94,0.2,40.8217,14.1447,0.03,Revisionato
2014/11/22 11:52:25.41,-0.5,40.8242,14.1367,0.71,Revisionato
2015/02/02 22:01:6.66,0.9,40.8402,14.1287,1.06,Revisionato
2015/02/25 21:10:10.27,-0.1,40.8377,14.1357,1.07,Revisionato
2015/03/02 19:45:49.90,-0.3,40.8207,14.1393,1.28,Revisionato
2015/03/02 19:48:2.36,-0.3,40.8207,14.1380,1.62,Revisionato
2015/03/02 19:48:12.91,0.7,40.8207,14.1405,1.74,Revisionato
2015/03/02 21:17:34.59,0.2,40.8207,14.1393,1.45,Revisionato
2015/03/03 22:10:56.59,-0.1,40.8193,14.1517,1.28,Revisionato
2015/03/03 22:36:31.04,0.4,40.8213,14.1517,1.17,Revisionato
2015/03/03 22:40:14.52,-0.5,40.8213,14.1462,0.07,Revisionato
2015/03/03 22:42:59.12,-0.1,40.8248,14.1462,1.17,Revisionato
2015/03/03 22:44:14.19,-0.5,40.8213,14.1455,0.72,Revisionato
2015/03/03 22:47:24.76,-0.5,40.8203,14.1497,1.32,Revisionato
2015/03/03 22:49:47.68,1.8,40.8267,14.1455,1.72,Revisionato
2015/03/07 11:31:49.74,-1.0,40.8215,14.1443,0.46,Revisionato
2015/03/07 11:32:55.89,-1.0,40.8205,14.1432,0.11,Revisionato
2015/03/13 03:16:59.59,-1.0,40.8207,14.1360,1.11,Revisionato
2015/03/13 03:21:14.74,-0.5,40.8227,14.1383,1.32,Revisionato
2015/03/16 04:42:22.99,-0.5,40.8215,14.1437,0.32,Revisionato
2015/03/21 23:28:54.97,0.2,40.8267,14.1418,1.10,Revisionato
2015/03/25 00:48:9.97,-0.3,40.8237,14.1353,1.63,Revisionato
2015/03/27 04:38:26.64,-0.5,40.8248,14.1360,1.66,Revisionato
2015/03/27 07:22:48.62,-0.5,40.8257,14.1402,2.28,Revisionato
2015/03/27 07:23:3.71,-0.3,40.8223,14.1360,1.71,Revisionato
2015/03/27 07:31:18.73,-0.3,40.8213,14.1358,1.33,Revisionato
2015/04/20 23:06:21.30,0.5,40.8212,14.1487,1.17,Revisionato
2015/04/25 18:25:41.47,-0.3,40.8220,14.1430,0.16,Revisionato
2015/05/03 04:07:40.25,-0.5,40.8267,14.1355,1.56,Revisionato
2015/05/09 05:53:19.91,-0.1,40.8220,14.1420,0.42,Revisionato
2015/05/09 08:31:26.82,-0.5,40.8213,14.1432,0.19,Revisionato
2015/05/20 03:43:3.89,-0.1,40.8265,14.1383,2.40,Revisionato
2015/06/02 17:17:5.98,-0.5,40.8315,14.1293,1.48,Revisionato
2015/06/02 17:17:33.01,-0.5,40.8315,14.1325,1.76,Revisionato
2015/06/02 17:22:14.29,-0.3,40.8315,14.1297,1.35,Revisionato
2015/06/02 19:47:45.15,-0.3,40.8318,14.1265,0.83,Revisionato
2015/06/06 10:49:35.17,-0.1,40.8233,14.1298,2.00,Revisionato
2015/06/06 19:10:5.38,0.4,40.8232,14.1282,1.11,Revisionato
2015/07/11 15:35:11.52,0.6,40.8413,14.1347,0.73,Revisionato
2015/07/11 15:36:37.79,0.4,40.8398,14.1368,1.18,Revisionato
2015/07/14 12:16:6.42,0.1,40.8207,14.1375,1.31,Revisionato
2015/07/14 12:16:54.29,-0.3,40.8202,14.1395,0.98,Revisionato
2015/07/15 00:28:18.30,-0.8,40.8210,14.1458,0.07,Revisionato
2015/07/15 00:28:38.48,-0.5,40.8220,14.1445,0.13,Revisionato
2015/07/16 20:30:16.60,-1.0,40.8215,14.1445,0.28,Revisionato
2015/07/22 05:38:30.44,-0.1,40.8230,14.1402,1.57,Revisionato
2015/08/11 00:00:40.14,0.4,40.8262,14.1428,1.26,Revisionato
2015/08/31 16:43:9.16,0.4,40.8313,14.1427,1.16,Revisionato
2015/09/02 01:17:28.70,-0.5,40.8292,14.1335,1.76,Revisionato
2015/09/02 01:17:33.55,-0.5,40.8317,14.1328,1.84,Revisionato
2015/09/02 01:17:53.76,-0.8,40.8323,14.1293,1.41,Revisionato
2015/09/02 01:19:8.00,0.1,40.8325,14.1267,1.36,Revisionato
2015/09/02 01:19:34.28,-1.0,40.8352,14.1272,1.00,Revisionato
2015/09/02 01:52:44.28,-0.5,40.8313,14.1300,1.70,Revisionato
2015/09/05 13:03:40.78,-0.8,40.8193,14.1487,0.51,Revisionato
2015/09/05 13:03:50.75,-0.5,40.8225,14.1485,0.86,Revisionato
2015/09/08 20:28:18.36,0.1,40.8383,14.1405,1.63,Revisionato
2015/09/09 02:14:9.76,-0.1,40.8252,14.1350,2.21,Revisionato
2015/09/10 20:30:44.28,-0.1,40.8238,14.1430,1.49,Revisionato
2015/09/18 02:37:34.83,0.2,40.8220,14.1250,1.81,Revisionato
2015/09/18 02:48:22.86,-0.3,40.8220,14.1270,1.20,Revisionato
2015/09/19 03:21:35.03,-0.1,40.8228,14.1420,0.67,Revisionato
2015/09/19 03:22:21.89,-0.5,40.8263,14.1415,0.79,Revisionato
2015/09/19 03:27:37.45,0.4,40.8253,14.1387,0.93,Revisionato
2015/09/27 03:55:20.84,0.1,40.8227,14.1418,0.63,Revisionato
2015/10/07 07:20:34.27,1.5,40.8247,14.1477,2.05,Revisionato
2015/10/07 07:24:55.06,1.1,40.8257,14.1465,1.52,Revisionato
2015/10/07 07:26:18.79,1.0,40.8272,14.1440,1.73,Revisionato
2015/10/07 07:31:33.05,1.9,40.8242,14.1478,1.75,Revisionato
2015/10/07 07:37:40.70,2.2,40.8260,14.1467,2.11,Revisionato
2015/10/07 07:54:13.49,2.0,40.8268,14.1483,2.25,Revisionato
2015/10/07 07:59:8.43,0.7,40.8243,14.1520,1.70,Revisionato
2015/10/07 07:59:15.92,1.1,40.8233,14.1483,1.08,Revisionato
2015/10/07 08:02:52.10,1.0,40.8232,14.1468,1.15,Revisionato
2015/10/07 08:13:51.19,2.3,40.8263,14.1465,2.26,Revisionato
2015/10/07 08:49:8.28,1.1,40.8237,14.1487,1.71,Revisionato
2015/10/07 09:10:50.68,2.5,40.8250,14.1503,1.53,Revisionato
2015/10/07 09:16:24.23,1.1,40.8233,14.1472,1.32,Revisionato
2015/10/07 11:53:35.56,-0.5,40.8277,14.1402,1.69,Revisionato
2015/10/07 22:05:20.64,0.2,40.8243,14.1423,1.43,Revisionato
2015/10/08 13:42:17.92,0.8,40.8245,14.1443,1.73,Revisionato
2015/10/10 04:00:22.26,0.4,40.8315,14.1242,2.30,Revisionato
2015/10/10 04:01:57.07,-0.3,40.8290,14.1222,2.24,Revisionato
2015/10/10 04:02:40.12,0.4,40.8310,14.1222,2.00,Revisionato
2015/10/29 22:37:16.02,0.7,40.8400,14.1327,0.99,Revisionato
2015/10/29 22:49:3.93,1.1,40.8407,14.1353,1.62,Revisionato
2015/10/29 22:49:51.36,0.6,40.8410,14.1363,1.48,Revisionato
2015/10/29 22:51:15.73,0.7,40.8412,14.1338,0.82,Revisionato
2015/10/29 22:55:53.75,0.6,40.8447,14.1370,0.94,Revisionato
2015/10/30 01:14:46.13,0.4,40.8455,14.1350,1.34,Revisionato
2015/10/30 01:15:13.99,0.4,40.8407,14.1323,1.16,Revisionato
2015/10/30 21:38:14.90,-0.5,40.8218,14.1453,0.53,Revisionato
2015/12/02 18:01:39.76,-0.5,40.8220,14.1410,0.53,Revisionato
2015/12/03 02:24:26.21,0.2,40.8268,14.1295,0.89,Revisionato
2015/12/03 02:25:41.35,-0.8,40.8240,14.1302,0.78,Revisionato
2015/12/03 16:35:50.19,-0.1,40.8245,14.1430,0.64,Revisionato
2015/12/12 14:03:1.06,-0.8,40.8237,14.1420,0.76,Revisionato
2015/12/12 14:03:45.57,0.8,40.8248,14.1398,0.66,Revisionato
2015/12/12 14:04:18.52,0.2,40.8222,14.1430,0.35,Revisionato
2015/12/12 14:05:41.70,-1.0,40.8253,14.1372,1.00,Revisionato
2015/12/21 01:37:6.61,-0.5,40.8248,14.1402,0.96,Revisionato
2015/12/21 01:41:3.95,0.5,40.8243,14.1395,1.01,Revisionato
2015/12/23 18:17:59.10,-0.5,40.8195,14.1470,1.00,Revisionato
2015/12/27 19:01:20.90,-0.8,40.8232,14.1448,1.50,Revisionato
2015/12/27 19:25:46.67,-0.3,40.8207,14.1442,1.32,Revisionato
2015/12/27 19:25:53.46,-0.1,40.8207,14.1465,1.37,Revisionato
2016/01/17 05:23:17.19,0.4,40.8402,14.1357,0.90,Revisionato
2016/01/17 05:23:27.57,0.2,40.8372,14.1362,1.63,Revisionato
2016/01/17 05:23:49.98,0.2,40.8383,14.1360,1.66,Revisionato
2016/01/26 04:55:28.52,0.7,40.8245,14.1392,0.88,Revisionato
2016/02/05 13:19:3.02,0.5,40.8557,14.1465,2.41,Revisionato
2016/02/06 16:42:56.56,-0.3,40.8252,14.1437,0.53,Revisionato
2016/02/10 04:20:25.90,0.4,40.8230,14.1487,1.48,Revisionato
2016/03/02 15:45:35.65,-0.5,40.8278,14.1423,0.70,Revisionato
2016/03/21 08:42:33.74,-1.0,40.8243,14.1327,1.81,Revisionato
2016/03/21 17:16:4.84,0.1,40.8227,14.1327,1.92,Revisionato
2016/03/21 23:05:54.39,0.2,40.8230,14.1300,1.80,Revisionato
2016/03/24 10:59:36.67,0.5,40.8207,14.1395,1.68,Revisionato
2016/03/24 10:59:51.36,0.5,40.8233,14.1395,1.29,Revisionato
2016/03/24 11:03:4.88,0.6,40.8232,14.1358,1.87,Revisionato
2016/03/29 12:57:4.48,-0.3,40.8227,14.1427,0.64,Revisionato
2016/04/09 07:51:34.43,0.1,40.8253,14.1350,1.69,Revisionato
2016/04/20 08:42:24.61,-0.3,40.8233,14.1438,0.40,Revisionato
2016/04/20 08:44:22.97,-0.3,40.8223,14.1433,0.15,Revisionato
2016/04/26 02:09:38.85,-1.0,40.8205,14.1425,1.03,Revisionato
2016/04/26 02:09:42.00,-0.3,40.8247,14.1427,0.63,Revisionato
2016/04/26 02:10:7.21,0.1,40.8280,14.1413,0.98,Revisionato
2016/04/26 04:42:45.30,-0.3,40.8220,14.1438,0.15,Revisionato
2016/04/28 23:20:51.97,-0.3,40.8223,14.1443,0.27,Revisionato
2016/04/28 23:21:19.57,-1.0,40.8227,14.1438,0.46,Revisionato
2016/04/28 23:21:22.12,-0.8,40.8237,14.1438,0.57,Revisionato
2016/04/28 23:21:33.01,-0.8,40.8220,14.1435,0.14,Revisionato
2016/05/02 12:26:4.96,-0.5,40.8220,14.1303,1.83,Revisionato
2016/05/02 12:49:41.98,-0.1,40.8220,14.1310,1.82,Revisionato
2016/05/03 21:14:25.47,0.6,40.8263,14.1382,1.78,Revisionato
2016/05/04 13:02:12.33,-0.5,40.8228,14.1335,2.20,Revisionato
2016/05/05 03:33:28.09,-0.1,40.8237,14.1342,1.80,Revisionato
2016/05/06 19:33:45.12,-0.3,40.8242,14.1427,0.90,Revisionato
2016/05/07 06:56:37.66,-0.1,40.8313,14.1420,1.57,Revisionato
2016/05/18 00:11:46.71,0.6,40.8287,14.1432,1.29,Revisionato
2016/05/18 23:09:21.43,0.1,40.8282,14.1478,1.71,Revisionato
2016/05/18 23:16:27.96,-0.3,40.8277,14.1472,1.65,Revisionato
2016/05/21 08:44:56.92,-0.1,40.8243,14.1422,0.88,Revisionato
2016/05/27 15:39:17.95,-0.3,40.8273,14.1402,1.26,Revisionato
2016/05/27 15:44:44.99,-0.1,40.8263,14.1428,1.56,Revisionato
2016/05/30 20:40:5.07,-0.3,40.8265,14.1253,1.41,Revisionato
2016/06/03 19:09:46.18,0.4,40.8203,14.1350,1.34,Revisionato
2016/06/03 21:44:17.46,0.8,40.8227,14.1308,1.11,Revisionato
2016/06/04 02:38:52.99,1.5,40.8217,14.1342,2.27,Revisionato
2016/06/04 02:45:58.83,1.6,40.8242,14.1313,2.12,Revisionato
2016/06/04 04:26:13.72,0.2,40.8222,14.1323,1.40,Revisionato
2016/06/10 08:32:32.18,0.5,40.8062,14.0990,4.08,Revisionato
2016/06/14 12:36:59.72,-0.3,40.8252,14.1463,0.83,Revisionato
2016/06/20 21:08:52.20,-1.0,40.8263,14.1442,0.84,Revisionato
2016/06/24 21:53:32.84,-0.1,40.8315,14.1402,1.11,Revisionato
2016/06/24 21:53:43.04,-0.3,40.8283,14.1450,1.74,Revisionato
2016/06/27 19:58:17.39,-0.5,40.8257,14.1300,1.12,Revisionato
2016/06/30 18:44:17.22,-0.3,40.8245,14.1425,0.46,Revisionato
2016/06/30 18:46:2.72,-0.8,40.8227,14.1462,0.82,Revisionato
2016/07/03 00:23:41.84,0.1,40.8248,14.1163,1.76,Revisionato
2016/07/03 00:25:51.07,0.1,40.8248,14.1165,1.69,Revisionato
2016/07/03 00:30:8.80,-0.3,40.8228,14.1165,1.53,Revisionato
2016/07/03 02:34:12.91,0.8,40.8262,14.1170,1.78,Revisionato
2016/07/03 02:42:54.82,0.1,40.8228,14.1143,1.51,Revisionato
2016/07/03 02:44:38.11,-0.8,40.8228,14.1158,1.55,Revisionato
2016/07/03 02:46:26.96,0.7,40.8265,14.1203,1.67,Revisionato
2016/07/03 03:12:4.21,0.2,40.8262,14.1152,1.24,Revisionato
2016/07/03 05:20:41.68,0.2,40.8253,14.1158,1.81,Revisionato
2016/07/05 01:22:39.73,2.1,40.8275,14.1372,2.17,Revisionato
2016/07/05 02:33:2.66,0.5,40.8257,14.1322,2.21,Revisionato
2016/07/05 13:50:33.71,-0.1,40.8272,14.1312,1.51,Revisionato
2016/07/05 21:21:21.18,-0.8,40.8270,14.1315,1.23,Revisionato
2016/07/05 21:24:49.90,-0.3,40.8293,14.1315,1.56,Revisionato
2016/07/06 12:19:5.52,0.2,40.8455,14.1167,2.43,Revisionato
2016/07/06 12:42:52.11,-1.0,40.8213,14.1448,1.16,Revisionato
2016/07/06 12:42:57.34,-0.8,40.8235,14.1423,0.70,Revisionato
2016/07/06 13:25:0.69,0.6,40.8238,14.1457,0.88,Revisionato
2016/07/08 20:49:16.75,-0.3,40.8288,14.1452,1.38,Revisionato
2016/07/12 04:27:48.21,0.1,40.8278,14.1355,1.16,Revisionato
2016/07/14 00:39:1.47,-0.3,40.8268,14.1298,1.43,Revisionato
2016/07/15 15:24:35.76,0.2,40.8262,14.1415,1.12,Revisionato
2016/07/18 08:37:9.97,-0.3,40.8217,14.1365,1.89,Revisionato
2016/07/21 07:21:23.12,-0.3,40.8272,14.1412,0.97,Revisionato
2016/07/21 07:22:21.34,-1.0,40.8245,14.1443,0.70,Revisionato
2016/07/21 07:22:24.18,-0.3,40.8250,14.1442,0.78,Revisionato
2016/07/21 07:24:40.92,-0.8,40.8238,14.1470,0.97,Revisionato
2016/07/21 07:25:32.09,-1.0,40.8248,14.1463,0.76,Revisionato
2016/07/23 05:01:48.64,-0.3,40.8275,14.1448,1.19,Revisionato
2016/07/23 05:14:36.24,-0.1,40.8283,14.1402,1.20,Revisionato
2016/07/28 16:37:7.65,0.7,40.8423,14.1187,1.50,Revisionato
2016/07/31 22:38:41.92,-0.5,40.8228,14.1243,1.74,Revisionato
2016/08/05 17:05:44.53,-0.3,40.8133,14.1413,2.27,Revisionato
2016/08/05 17:43:10.69,0.4,40.8138,14.1415,2.66,Revisionato
2016/08/06 00:38:7.32,-0.1,40.8158,14.1420,2.65,Revisionato
2016/08/08 00:08:52.95,-0.5,40.8227,14.1467,1.28,Revisionato
2016/08/08 00:09:14.75,-0.1,40.8253,14.1487,1.59,Revisionato
2016/08/08 00:09:36.46,-0.5,40.8268,14.1440,1.32,Revisionato
2016/08/14 00:57:9.96,0.7,40.8188,14.1750,2.86,Revisionato
2016/08/15 04:28:54.74,-0.1,40.8205,14.1222,0.75,Revisionato
2016/08/15 04:43:7.18,0.4,40.8203,14.1203,0.78,Revisionato
2016/08/16 01:51:32.25,-0.8,40.8183,14.1203,0.66,Revisionato
2016/08/16 01:51:53.14,-0.1,40.8207,14.1245,0.83,Revisionato
2016/08/17 04:36:27.18,0.1,40.8228,14.1223,0.87,Revisionato
2016/08/21 11:40:23.27,-1.0,40.8228,14.1203,0.55,Revisionato
2016/08/23 02:00:46.70,1.5,40.8215,14.1370,0.89,Revisionato
2016/08/23 02:15:0.50,1.4,40.8215,14.1380,1.61,Revisionato
2016/08/23 02:16:37.38,1.1,40.8203,14.1378,1.23,Revisionato
2016/08/23 02:21:34.04,0.9,40.8220,14.1382,1.29,Revisionato
2016/08/23 02:22:57.20,1.5,40.8203,14.1395,1.57,Revisionato
2016/08/23 03:06:49.35,1.1,40.8213,14.1398,1.67,Revisionato
2016/08/24 03:07:7.43,-0.5,40.8188,14.1372,0.59,Revisionato
2016/08/24 03:07:25.60,0.4,40.8208,14.1363,0.81,Revisionato
2016/08/29 15:22:48.09,-0.1,40.8250,14.1453,1.97,Revisionato
2016/08/29 15:25:22.42,0.1,40.8238,14.1442,1.78,Revisionato
2016/08/29 15:30:20.39,0.4,40.8263,14.1448,1.81,Revisionato
2016/08/29 15:31:15.30,0.7,40.8237,14.1487,2.03,Revisionato
2016/08/29 15:33:18.76,0.7,40.8267,14.1502,2.24,Revisionato
2016/08/29 15:33:59.86,0.6,40.8263,14.1445,1.83,Revisionato
2016/08/29 15:35:14.28,0.1,40.8237,14.1477,2.25,Revisionato
2016/08/29 15:35:26.00,-0.1,40.8242,14.1490,1.67,Revisionato
2016/08/29 15:37:22.35,0.5,40.8240,14.1487,1.70,Revisionato
2016/08/29 15:38:30.45,-0.1,40.8253,14.1517,1.80,Revisionato
2016/08/29 15:41:44.13,-0.1,40.8278,14.1457,1.72,Revisionato
2016/08/29 15:43:42.62,0.4,40.8313,14.1452,1.74,Revisionato
2016/08/29 15:45:4.67,0.1,40.8257,14.1517,1.81,Revisionato
2016/08/29 15:45:40.55,1.7,40.8280,14.1530,1.86,Revisionato
2016/08/29 15:46:22.62,0.6,40.8263,14.1467,1.73,Revisionato
2016/08/29 15:51:12.35,0.2,40.8242,14.1418,1.57,Revisionato
2016/08/29 16:00:1.03,-0.1,40.8250,14.1453,1.78,Revisionato
2016/09/12 02:10:32.89,-0.1,40.8335,14.1458,1.51,Revisionato
2016/09/14 03:41:31.21,0.4,40.8247,14.1442,1.45,Revisionato
2016/09/18 01:53:18.02,0.1,40.8267,14.1437,0.77,Revisionato
2016/09/23 00:02:13.20,-0.8,40.8237,14.1438,0.59,Revisionato
2016/09/25 04:43:58.85,0.9,40.8262,14.1388,1.11,Revisionato
2016/09/27 21:34:51.05,-1.0,40.8315,14.1402,0.95,Revisionato
2016/09/27 21:48:23.96,-0.5,40.8290,14.1402,1.60,Revisionato
2016/10/13 00:54:3.46,-0.3,40.8247,14.1402,0.91,Revisionato
2016/10/19 10:54:13.45,0.8,40.8245,14.1415,0.86,Revisionato
2016/10/22 05:14:49.86,0.6,40.8262,14.1427,1.13,Revisionato
2016/10/30 06:52:46.26,-0.5,40.8198,14.1313,1.08,Revisionato
2016/10/30 06:54:32.50,0.5,40.8212,14.1327,1.48,Revisionato
2016/10/30 06:54:44.97,-0.1,40.8213,14.1300,1.68,Revisionato
2016/10/30 06:56:53.71,1.1,40.8205,14.1320,1.64,Revisionato
2016/10/30 07:04:31.72,1.2,40.8203,14.1332,1.43,Revisionato
2016/10/30 20:29:50.01,0.9,40.8228,14.1313,1.56,Revisionato
2016/11/07 09:30:14.30,0.4,40.8297,14.1442,1.32,Revisionato
2016/11/18 02:49:58.11,-0.3,40.8222,14.1457,0.83,Revisionato
2016/12/06 04:17:33.78,-1.0,40.8235,14.1433,0.62,Revisionato
2016/12/06 04:18:22.03,-0.3,40.8240,14.1407,1.01,Revisionato
2016/12/06 04:20:44.28,-0.5,40.8227,14.1470,0.61,Revisionato
2016/12/08 16:51:3.85,-0.5,40.8252,14.1450,1.64,Revisionato
2016/12/15 08:12:0.00,-0.8,40.8282,14.1417,0.75,Revisionato
2017/01/16 04:18:12.64,-1.0,40.8315,14.1353,1.53,Revisionato
2017/01/24 22:59:56.58,0.4,40.8190,14.1338,0.89,Revisionato
2017/02/08 04:00:1.65,0.2,40.8235,14.1378,1.57,Revisionato
2017/02/15 20:44:39.14,-0.5,40.8227,14.1467,0.47,Revisionato
2017/02/21 18:40:41.67,-1.0,40.8283,14.1413,0.82,Revisionato
2017/02/26 00:29:6.46,-0.8,40.8245,14.1427,0.80,Revisionato
2017/02/26 00:32:26.72,-0.3,40.8240,14.1448,0.78,Revisionato
2017/03/24 22:17:9.40,-0.3,40.8282,14.1327,1.74,Revisionato
2017/03/24 22:21:0.24,-0.5,40.8252,14.1332,0.91,Revisionato
2017/03/24 22:22:35.72,0.2,40.8267,14.1305,0.95,Revisionato
2017/03/24 22:40:6.26,0.1,40.8263,14.1310,1.49,Revisionato
2017/03/24 22:43:45.20,0.5,40.8272,14.1308,1.15,Revisionato
2017/03/25 03:04:44.32,0.1,40.8273,14.1355,1.64,Revisionato
2017/04/19 09:53:18.89,0.2,40.8253,14.1412,0.91,Revisionato
2017/04/23 22:25:18.52,0.1,40.8310,14.1422,0.72,Revisionato
