Tempo origine (UTC),Magnitudo,Latitudine N,Longitudine E,Profondit√† (km)
2018/09/28 06:59:47.37,1.7,40.8275,14.1333,2.31,Revisionato
2018/09/28 07:25:6.86,0.8,40.8280,14.1390,2.22,Revisionato
2018/10/02 09:15:9.98,0.2,40.8205,14.1357,2.20,Revisionato
2018/10/06 10:54:34.37,0.4,40.8257,14.1420,1.02,Revisionato
2018/10/07 01:39:10.76,-0.1,40.8315,14.1332,1.59,Revisionato
2018/10/07 17:25:36.52,0.1,40.8245,14.1432,1.35,Revisionato
2018/10/07 21:22:46.02,0.2,40.8350,14.1343,1.39,Revisionato
2018/10/08 00:54:7.14,0.9,40.8228,14.1292,1.04,Revisionato
2018/10/08 00:56:12.05,1.2,40.8240,14.1290,1.41,Revisionato
2018/10/08 01:02:23.56,-0.3,40.8228,14.1317,1.26,Revisionato
2018/10/08 01:33:15.63,0.7,40.8268,14.1367,1.85,Revisionato
2018/10/08 01:34:45.49,1.4,40.8228,14.1338,1.70,Revisionato
2018/10/08 01:40:3.64,1.4,40.8260,14.1317,2.14,Revisionato
2018/10/08 05:19:53.80,0.8,40.8265,14.1347,2.08,Revisionato
2018/10/08 05:32:46.22,0.8,40.8248,14.1357,1.49,Revisionato
2018/10/08 06:45:1.11,0.2,40.8228,14.1315,1.42,Revisionato
2018/10/08 06:58:16.58,0.1,40.8228,14.1315,1.69,Revisionato
2018/10/08 22:19:52.96,0.7,40.8228,14.1275,1.20,Revisionato
2018/10/10 02:24:38.26,0.2,40.8218,14.1337,1.30,Revisionato
2018/10/10 03:38:16.48,-0.3,40.8228,14.1307,1.73,Revisionato
2018/10/11 14:40:50.02,-0.1,40.8270,14.1378,1.62,Revisionato
2018/10/11 14:53:0.25,-0.1,40.8240,14.1345,1.80,Revisionato
2018/10/12 04:15:22.59,0.1,40.8292,14.1417,1.67,Revisionato
2018/10/12 04:27:49.87,0.8,40.8368,14.1362,1.51,Revisionato
2018/10/12 04:28:26.23,0.5,40.8315,14.1370,1.74,Revisionato
2018/10/12 04:30:30.26,0.8,40.8388,14.1402,1.29,Revisionato
2018/10/12 04:30:37.67,0.9,40.8350,14.1427,1.41,Revisionato
2018/10/12 04:31:57.31,0.4,40.8372,14.1397,1.42,Revisionato
2018/10/12 04:38:37.87,0.1,40.8367,14.1402,1.42,Revisionato
2018/10/12 04:38:48.21,1.1,40.8352,14.1415,1.30,Revisionato
2018/10/12 07:43:34.90,2.0,40.8370,14.1350,1.77,Revisionato
2018/10/12 15:35:20.28,0.1,40.8315,14.1383,1.67,Revisionato
2018/10/13 12:16:36.23,0.5,40.8363,14.1368,1.47,Revisionato
2018/10/13 16:49:5.94,0.7,40.8408,14.1330,1.20,Revisionato
2018/10/13 16:54:17.59,0.6,40.8315,14.1340,1.48,Revisionato
2018/10/16 22:18:25.31,0.4,40.8292,14.1347,1.25,Revisionato
2018/10/16 22:18:50.77,0.6,40.8302,14.1367,1.46,Revisionato
2018/10/17 04:30:21.62,0.6,40.8282,14.1427,0.59,Revisionato
2018/10/17 17:15:1.99,-0.5,40.8315,14.1402,1.57,Revisionato
2018/10/17 17:15:15.83,-0.3,40.8255,14.1467,0.47,Revisionato
2018/10/21 02:59:30.63,0.5,40.8267,14.1260,0.79,Revisionato
2018/10/23 17:04:7.38,-0.5,40.8272,14.1445,0.67,Revisionato
2018/10/23 17:08:8.71,-1.0,40.8280,14.1443,0.70,Revisionato
2018/10/28 09:28:17.22,-0.8,40.8263,14.1440,0.82,Revisionato
2018/10/28 09:28:26.16,-1.0,40.8288,14.1442,0.65,Revisionato
2018/10/28 09:28:36.64,-0.3,40.8260,14.1438,0.69,Revisionato
2018/10/28 09:28:38.60,-0.5,40.8315,14.1433,0.55,Revisionato
2018/10/28 10:09:38.51,0.1,40.8267,14.1447,0.70,Revisionato
2018/11/05 05:49:34.22,-0.3,40.8305,14.1462,1.15,Revisionato
2018/11/06 18:05:22.28,-0.3,40.8310,14.1437,0.26,Revisionato
2018/11/06 20:06:42.73,-1.0,40.8295,14.1428,0.77,Revisionato
2018/11/12 19:14:22.25,-0.1,40.8235,14.1458,1.38,Revisionato
2018/11/12 20:58:0.08,-0.1,40.8313,14.1408,1.51,Revisionato
2018/11/12 21:06:29.48,0.1,40.8253,14.1457,1.58,Revisionato
2018/11/12 21:06:52.65,-0.1,40.8248,14.1432,1.28,Revisionato
2018/11/12 21:07:20.46,-0.5,40.8308,14.1468,1.20,Revisionato
2018/11/12 21:09:18.63,-0.5,40.8277,14.1452,1.22,Revisionato
2018/11/12 21:19:43.05,-0.3,40.8282,14.1440,1.34,Revisionato
2018/11/12 21:20:32.25,1.4,40.8275,14.1470,2.27,Revisionato
2018/11/12 21:20:44.12,0.8,40.8315,14.1440,1.08,Revisionato
2018/11/12 21:27:42.13,-0.5,40.8315,14.1377,1.26,Revisionato
2018/11/12 22:10:54.30,-0.5,40.8313,14.1453,1.13,Revisionato
2018/11/13 06:43:44.67,-1.0,40.8278,14.1422,0.82,Revisionato
2018/11/17 09:04:10.77,0.1,40.8277,14.1422,0.95,Revisionato
2018/11/18 09:07:14.28,0.6,40.8272,14.1412,1.14,Revisionato
2018/11/21 08:09:58.06,-0.3,40.8272,14.1427,1.20,Revisionato
2018/11/21 19:45:31.50,0.6,40.8272,14.1392,1.02,Revisionato
2018/12/07 11:39:15.94,-0.8,40.8265,14.1437,0.75,Revisionato
2018/12/08 00:28:34.27,-0.5,40.8255,14.1345,1.46,Revisionato
2018/12/08 00:40:18.46,0.8,40.8230,14.1335,1.23,Revisionato
2018/12/08 04:56:8.90,0.2,40.8228,14.1328,1.28,Revisionato
2018/12/11 04:39:52.47,0.1,40.8203,14.1408,1.03,Revisionato
2018/12/23 13:06:45.90,-0.3,40.8243,14.1443,0.56,Revisionato
2018/12/23 13:06:49.14,0.1,40.8247,14.1460,0.55,Revisionato
2018/12/24 23:45:49.55,-0.3,40.8237,14.1333,1.31,Revisionato
2018/12/26 04:11:13.83,0.1,40.8218,14.1363,0.79,Revisionato
2018/12/30 20:52:56.42,0.1,40.8225,14.1390,1.29,Revisionato
2018/12/30 21:14:5.33,0.4,40.8213,14.1340,1.12,Revisionato
2019/01/02 23:30:22.81,0.8,40.8220,14.1435,0.42,Revisionato
2019/01/02 23:30:39.43,0.6,40.8245,14.1422,0.55,Revisionato
2019/01/03 17:35:18.56,-0.5,40.8300,14.1428,1.29,Revisionato
2019/01/06 04:13:21.25,0.7,40.8377,14.1363,1.12,Revisionato
2019/01/06 04:14:12.23,0.5,40.8375,14.1385,1.06,Revisionato
2019/01/10 00:28:9.03,2.0,40.8460,14.1835,2.56,Revisionato
2019/01/13 23:16:1.55,0.2,40.8212,14.1372,0.88,Revisionato
2019/01/14 02:44:31.38,-0.3,40.8207,14.1367,0.65,Revisionato
2019/01/14 02:44:40.84,0.1,40.8223,14.1362,1.06,Revisionato
2019/01/14 05:44:7.93,0.1,40.8215,14.1427,0.85,Revisionato
2019/01/14 05:51:34.14,-0.1,40.8218,14.1370,1.06,Revisionato
2019/01/14 17:16:28.96,-0.3,40.8215,14.1395,1.18,Revisionato
2019/01/14 17:16:38.83,-0.1,40.8228,14.1357,1.30,Revisionato
2019/01/14 17:42:18.30,-0.3,40.8233,14.1368,1.10,Revisionato
2019/01/18 18:48:41.18,-0.1,40.8245,14.1443,0.61,Revisionato
2019/01/18 18:49:49.72,0.2,40.8240,14.1437,0.65,Revisionato
2019/01/18 18:49:57.78,-0.8,40.8258,14.1453,0.60,Revisionato
2019/01/18 18:50:1.43,0.1,40.8238,14.1472,0.52,Revisionato
2019/01/18 18:50:55.04,-0.8,40.8287,14.1437,0.67,Revisionato
2019/01/18 19:12:11.42,0.1,40.8247,14.1445,0.58,Revisionato
2019/01/20 09:31:11.97,-0.3,40.8280,14.1412,0.73,Revisionato
2019/01/30 17:02:11.34,-0.8,40.8248,14.1467,0.65,Revisionato
2019/01/30 17:02:37.28,-0.1,40.8228,14.1447,0.91,Revisionato
2019/01/30 17:03:25.94,-0.3,40.8253,14.1473,0.84,Revisionato
2019/01/30 17:10:29.58,-0.1,40.8242,14.1517,1.40,Revisionato
2019/01/30 17:17:38.12,-0.5,40.8233,14.1517,1.34,Revisionato
2019/01/30 17:22:39.62,0.2,40.8243,14.1478,1.09,Revisionato
2019/02/08 14:45:58.86,0.2,40.8260,14.1430,0.71,Revisionato
2019/02/08 14:47:8.70,-0.5,40.8253,14.1415,0.81,Revisionato
2019/02/10 03:37:44.44,0.5,40.8217,14.1292,1.64,Revisionato
2019/02/14 16:21:49.58,0.1,40.8252,14.1433,1.05,Revisionato
2019/02/14 16:22:29.84,-0.3,40.8253,14.1430,0.97,Revisionato
2019/02/17 23:48:58.16,0.1,40.8270,14.1273,1.59,Revisionato
2019/02/18 01:36:43.72,0.4,40.8263,14.1270,1.28,Revisionato
2019/02/18 22:14:58.97,-0.1,40.8313,14.1445,1.29,Revisionato
2019/02/19 11:32:14.86,-0.3,40.8247,14.1402,0.64,Revisionato
2019/02/20 15:12:18.82,-0.3,40.8313,14.1473,1.47,Revisionato
2019/02/21 14:49:23.20,-1.0,40.8288,14.1423,0.47,Revisionato
2019/02/21 14:49:27.70,-1.0,40.8292,14.1425,0.66,Revisionato
2019/02/22 21:42:49.37,-0.3,40.8233,14.1402,1.02,Revisionato
2019/02/22 21:45:32.33,0.4,40.8200,14.1387,0.30,Revisionato
2019/02/22 21:49:15.42,-0.3,40.8213,14.1383,0.94,Revisionato
2019/02/22 21:49:23.48,-0.5,40.8192,14.1438,0.75,Revisionato
2019/02/22 21:51:27.99,0.5,40.8210,14.1402,1.02,Revisionato
2019/02/22 22:14:45.06,0.8,40.8208,14.1370,0.86,Revisionato
2019/02/22 22:40:11.52,0.1,40.8212,14.1397,0.91,Revisionato
2019/02/22 22:40:35.44,-0.1,40.8200,14.1383,1.40,Revisionato
2019/02/25 17:47:34.68,0.4,40.8313,14.1517,1.42,Revisionato
2019/02/25 23:25:54.26,1.0,40.8208,14.1307,1.65,Revisionato
2019/02/26 19:12:18.02,-1.0,40.8265,14.1392,1.02,Revisionato
2019/02/26 22:40:6.92,-0.5,40.8315,14.1402,1.46,Revisionato
2019/02/28 03:20:40.49,-0.5,40.8267,14.1315,0.98,Revisionato
2019/03/06 18:21:59.61,-0.1,40.8228,14.1402,1.16,Revisionato
2019/03/10 23:22:43.99,0.4,40.8075,14.1445,2.75,Revisionato
2019/03/11 01:09:12.56,0.1,40.8315,14.1402,1.64,Revisionato
2019/03/13 15:42:27.94,0.4,40.8250,14.1408,1.27,Revisionato
2019/03/13 15:42:45.86,0.2,40.8265,14.1425,1.20,Revisionato
2019/03/13 23:30:26.22,0.7,40.8093,14.1415,2.77,Revisionato
2019/03/15 02:32:55.01,-0.8,40.8212,14.1517,0.87,Revisionato
2019/03/15 02:33:1.68,0.2,40.8215,14.1558,1.15,Revisionato
2019/03/15 02:44:13.95,0.5,40.8208,14.1517,1.62,Revisionato
2019/03/15 02:50:21.86,0.1,40.8225,14.1483,1.32,Revisionato
2019/03/15 02:51:37.44,-0.8,40.8215,14.1517,0.79,Revisionato
2019/03/15 02:53:13.79,0.6,40.8220,14.1492,1.38,Revisionato
2019/03/15 03:36:24.48,0.1,40.8227,14.1533,1.47,Revisionato
2019/03/15 03:58:2.26,0.1,40.8217,14.1517,1.05,Revisionato
2019/03/15 03:59:44.92,-0.3,40.8233,14.1490,1.12,Revisionato
2019/03/15 04:00:22.61,0.4,40.8237,14.1440,1.45,Revisionato
2019/03/15 04:03:44.83,0.5,40.8240,14.1448,1.75,Revisionato
2019/03/15 04:04:38.61,-0.3,40.8223,14.1483,1.14,Revisionato
2019/03/15 04:07:59.24,0.1,40.8222,14.1443,1.37,Revisionato
2019/03/15 04:10:26.92,0.6,40.8247,14.1472,1.73,Revisionato
2019/03/15 04:12:40.01,0.1,40.8222,14.1428,1.58,Revisionato
2019/03/15 04:14:4.94,-0.5,40.8223,14.1517,1.46,Revisionato
2019/03/15 04:16:20.22,0.1,40.8237,14.1460,1.25,Revisionato
2019/03/15 04:19:27.90,0.1,40.8227,14.1430,1.14,Revisionato
2019/03/15 04:20:27.54,0.4,40.8228,14.1472,0.96,Revisionato
2019/03/15 04:20:40.35,-0.1,40.8228,14.1432,0.96,Revisionato
2019/03/15 04:21:34.93,-0.3,40.8225,14.1490,0.40,Revisionato
2019/03/15 04:22:38.03,-0.1,40.8203,14.1490,1.29,Revisionato
2019/03/15 04:24:5.35,0.2,40.8222,14.1482,1.66,Revisionato
2019/03/15 04:25:31.27,0.4,40.8237,14.1488,1.02,Revisionato
2019/03/15 04:26:41.82,2.5,40.8287,14.1485,2.13,Revisionato
2019/03/15 04:27:26.83,-0.1,40.8222,14.1535,0.78,Revisionato
2019/03/15 04:27:34.51,-0.3,40.8222,14.1460,0.95,Revisionato
2019/03/15 04:27:45.51,-0.3,40.8212,14.1490,1.30,Revisionato
2019/03/15 04:27:57.73,0.7,40.8263,14.1467,1.84,Revisionato
2019/03/15 04:28:58.28,-0.1,40.8237,14.1453,1.05,Revisionato
2019/03/15 04:33:53.54,-1.0,40.8215,14.1493,0.91,Revisionato
2019/03/15 04:36:44.31,0.1,40.8228,14.1487,1.29,Revisionato
2019/03/15 04:40:35.76,1.1,40.8275,14.1493,2.15,Revisionato
2019/03/15 04:44:36.21,0.7,40.8233,14.1517,1.42,Revisionato
2019/03/15 04:44:57.05,-0.1,40.8217,14.1517,1.05,Revisionato
2019/03/15 04:47:45.13,-0.5,40.8220,14.1517,1.03,Revisionato
2019/03/15 04:49:50.26,0.8,40.8233,14.1442,1.21,Revisionato
2019/03/15 04:50:51.28,0.1,40.8222,14.1490,0.97,Revisionato
2019/03/15 04:53:53.94,-0.5,40.8215,14.1517,1.11,Revisionato
2019/03/15 04:56:39.68,0.7,40.8262,14.1462,1.80,Revisionato
2019/03/15 04:57:4.80,0.4,40.8222,14.1468,1.53,Revisionato
2019/03/15 05:20:46.29,0.4,40.8225,14.1423,1.21,Revisionato
2019/03/15 06:00:36.79,0.1,40.8313,14.1425,1.32,Revisionato
2019/03/15 06:09:14.37,-0.8,40.8223,14.1483,0.99,Revisionato
2019/03/15 06:09:41.95,0.1,40.8225,14.1460,1.33,Revisionato
2019/03/15 10:29:23.22,1.0,40.8252,14.1465,1.56,Revisionato
2019/03/16 01:13:54.64,-0.5,40.8223,14.1430,0.67,Revisionato
2019/03/17 13:42:18.09,-1.0,40.8218,14.1433,0.81,Revisionato
2019/03/17 13:42:21.29,-0.3,40.8220,14.1428,0.63,Revisionato
2019/03/17 13:49:26.75,-0.5,40.8213,14.1490,0.33,Revisionato
2019/03/17 14:27:16.90,-0.1,40.8213,14.1477,0.53,Revisionato
2019/03/17 23:23:8.86,-0.3,40.8283,14.1445,0.99,Revisionato
2019/03/18 18:54:8.62,0.8,40.8223,14.1398,0.75,Revisionato
2019/03/18 22:42:8.36,0.4,40.8263,14.1445,1.36,Revisionato
2019/03/19 03:45:58.54,1.1,40.8275,14.1428,0.98,Revisionato
2019/03/21 02:35:20.91,0.1,40.8347,14.1402,1.72,Revisionato
2019/03/21 02:36:56.75,0.2,40.8328,14.1530,1.87,Revisionato
2019/03/21 02:37:45.28,-0.1,40.8358,14.1452,1.43,Revisionato
2019/03/21 02:56:40.35,0.1,40.8313,14.1535,1.74,Revisionato
2019/03/21 03:11:57.76,0.6,40.8313,14.1502,1.80,Revisionato
2019/03/21 19:57:29.65,-0.8,40.8270,14.1433,0.75,Revisionato
2019/03/21 20:05:12.05,-1.0,40.8293,14.1422,0.35,Revisionato
2019/03/21 20:10:21.43,-0.3,40.8273,14.1402,0.89,Revisionato
2019/03/21 20:53:29.70,0.6,40.8265,14.1418,1.02,Revisionato
2019/03/21 20:54:8.14,-0.1,40.8245,14.1452,0.71,Revisionato
2019/03/21 22:17:11.49,0.2,40.8260,14.1417,0.95,Revisionato
2019/03/24 15:12:32.13,0.7,40.8082,14.0950,3.73,Revisionato
2019/03/31 13:53:6.76,-0.3,40.8220,14.1435,0.41,Revisionato
2019/04/01 12:30:4.34,0.2,40.8102,14.1002,3.94,Revisionato
2019/04/02 22:35:14.63,0.1,40.8257,14.1405,1.10,Revisionato
2019/04/03 02:36:40.88,-0.1,40.8242,14.1460,0.60,Revisionato
2019/04/06 01:10:3.65,0.1,40.8278,14.1430,1.42,Revisionato
2019/04/07 05:51:50.78,0.1,40.8240,14.1410,0.97,Revisionato
2019/04/08 01:34:50.69,-0.3,40.8247,14.1350,1.45,Revisionato
2019/04/08 08:48:8.18,0.2,40.8410,14.1402,1.85,Revisionato
2019/04/08 08:49:27.68,0.1,40.8398,14.1392,1.84,Revisionato
2019/04/08 09:24:24.64,-0.3,40.8315,14.1367,1.84,Revisionato
2019/04/10 19:42:24.56,0.4,40.8218,14.1400,1.13,Revisionato
2019/04/10 19:49:52.53,0.2,40.8242,14.1317,1.53,Revisionato
2019/04/10 22:56:47.21,1.8,40.8272,14.1435,1.18,Revisionato
2019/04/14 08:02:56.70,0.2,40.8220,14.1407,0.88,Revisionato
2019/04/14 08:03:8.93,-0.1,40.8203,14.1413,1.13,Revisionato
2019/04/15 03:00:41.64,-0.5,40.8247,14.1385,0.93,Revisionato
2019/04/15 03:00:50.67,0.6,40.8227,14.1402,1.52,Revisionato
2019/04/15 17:52:43.55,0.4,40.8270,14.1442,1.04,Revisionato
2019/04/16 10:19:18.27,0.8,40.8233,14.1362,1.04,Revisionato
2019/04/16 10:23:42.53,1.1,40.8247,14.1375,1.47,Revisionato
2019/04/16 10:38:9.67,0.2,40.8228,14.1413,1.45,Revisionato
2019/04/16 12:17:31.51,0.5,40.8242,14.1367,1.38,Revisionato
2019/04/17 00:40:16.50,1.1,40.8342,14.1450,0.57,Revisionato
2019/04/21 14:45:10.61,1.0,40.8265,14.1387,1.22,Revisionato
2019/04/21 14:53:2.46,0.8,40.8250,14.1337,1.73,Revisionato
2019/04/21 14:59:3.67,0.5,40.8268,14.1305,1.72,Revisionato
2019/04/21 15:12:38.37,0.9,40.8243,14.1322,1.67,Revisionato
2019/04/21 15:43:17.61,0.4,40.8240,14.1358,2.12,Revisionato
2019/04/21 15:53:1.50,0.2,40.8257,14.1323,1.44,Revisionato
2019/04/21 18:06:32.64,1.2,40.8348,14.1353,1.52,Revisionato
2019/04/22 21:51:54.40,0.2,40.8270,14.1432,1.05,Revisionato
2019/04/25 13:26:7.87,0.4,40.8213,14.1497,0.80,Revisionato
2019/04/25 23:28:58.83,0.2,40.8400,14.1302,1.84,Revisionato
2019/04/26 12:40:58.19,-0.5,40.8207,14.1442,1.08,Revisionato
2019/04/28 05:36:34.28,0.2,40.8273,14.1443,1.50,Revisionato
2019/04/28 05:48:44.82,0.2,40.8270,14.1467,1.48,Revisionato
2019/04/28 06:40:21.34,0.2,40.8303,14.1445,1.02,Revisionato
2019/04/29 07:41:8.63,-0.3,40.8242,14.1415,0.84,Revisionato
2019/05/01 01:31:17.97,0.5,40.8222,14.1722,2.39,Revisionato
2019/05/03 04:02:12.28,-0.5,40.8197,14.1358,1.53,Revisionato
2019/05/03 09:43:16.30,0.1,40.8267,14.1378,0.98,Revisionato
2019/05/04 00:40:7.66,0.1,40.8290,14.1440,1.42,Revisionato
2019/05/04 00:40:29.99,-0.1,40.8293,14.1457,1.38,Revisionato
2019/05/04 00:41:5.92,0.4,40.8275,14.1402,1.46,Revisionato
2019/05/09 23:47:28.23,0.7,40.8087,14.1137,2.61,Revisionato
2019/05/10 15:15:42.27,-0.1,40.8247,14.1402,1.05,Revisionato
2019/05/11 09:33:11.57,0.2,40.8260,14.1422,1.11,Revisionato
2019/05/13 22:10:29.18,0.4,40.8245,14.1490,1.47,Revisionato
2019/05/16 21:54:6.58,-0.3,40.8273,14.1438,0.70,Revisionato
2019/05/16 21:54:24.62,-0.1,40.8243,14.1442,0.54,Revisionato
2019/05/16 21:57:3.43,-0.1,40.8248,14.1447,0.83,Revisionato
2019/05/16 21:57:16.52,0.1,40.8290,14.1437,0.55,Revisionato
2019/05/17 10:19:4.33,0.4,40.8230,14.1490,0.79,Revisionato
2019/05/17 10:23:53.80,0.1,40.8218,14.1480,0.96,Revisionato
2019/05/17 10:24:0.29,-0.1,40.8228,14.1482,0.82,Revisionato
2019/05/17 10:25:13.62,-0.3,40.8242,14.1473,0.92,Revisionato
2019/05/17 16:49:20.47,-0.5,40.8258,14.1483,0.75,Revisionato
2019/05/18 02:00:27.48,0.5,40.8262,14.1425,1.23,Revisionato
2019/05/20 01:37:16.15,0.4,40.8228,14.1368,0.84,Revisionato
2019/05/21 03:29:53.33,-0.3,40.8292,14.1417,0.81,Revisionato
2019/05/21 03:30:1.73,0.1,40.8280,14.1440,0.75,Revisionato
2019/05/21 03:30:55.17,-0.1,40.8273,14.1438,0.93,Revisionato
2019/05/22 12:05:5.94,-0.8,40.8268,14.1425,0.56,Revisionato
2019/05/22 22:15:56.81,-0.3,40.8387,14.1280,1.27,Revisionato
2019/05/24 01:59:32.28,0.2,40.8282,14.1402,1.31,Revisionato
2019/05/26 04:37:10.12,-0.1,40.8225,14.1363,0.72,Revisionato
2019/05/26 04:37:41.66,0.4,40.8213,14.1338,0.91,Revisionato
2019/05/26 05:17:57.25,0.1,40.8278,14.1368,1.48,Revisionato
2019/05/26 05:32:54.22,-0.1,40.8223,14.1365,0.68,Revisionato
2019/05/28 23:11:2.67,0.2,40.8245,14.1418,1.39,Revisionato
2019/05/30 19:34:37.52,0.2,40.8228,14.1368,1.26,Revisionato
2019/06/01 21:42:32.22,-0.3,40.8242,14.1413,0.86,Revisionato
2019/06/02 04:31:43.38,-0.1,40.8230,14.1402,0.56,Revisionato
2019/06/02 04:36:20.27,-0.5,40.8247,14.1425,0.64,Revisionato
2019/06/02 12:39:23.34,-0.8,40.8227,14.1415,0.67,Revisionato
2019/06/03 02:25:7.76,0.5,40.8088,14.0957,3.58,Revisionato
2019/06/04 14:15:57.48,-0.8,40.8287,14.1437,0.62,Revisionato
2019/06/06 07:21:58.46,-0.8,40.8290,14.1473,0.83,Revisionato
2019/06/06 07:23:23.66,-0.1,40.8267,14.1432,0.89,Revisionato
2019/06/07 10:04:41.33,0.1,40.8278,14.1412,1.00,Revisionato
2019/06/08 02:56:23.00,-0.5,40.8240,14.1437,1.74,Revisionato
2019/06/08 03:36:38.44,-0.3,40.8263,14.1490,1.44,Revisionato
2019/06/08 04:24:38.18,-0.5,40.8245,14.1450,1.63,Revisionato
2019/06/08 04:25:12.00,-0.5,40.8233,14.1413,1.40,Revisionato
2019/06/08 05:07:58.66,-0.3,40.8235,14.1442,1.39,Revisionato
2019/06/08 05:24:23.56,-0.1,40.8227,14.1445,1.51,Revisionato
2019/06/08 19:26:18.86,-0.3,40.8288,14.1435,1.69,Revisionato
2019/06/10 17:16:28.66,-0.3,40.8240,14.1413,1.20,Revisionato
2019/06/10 17:18:14.82,-1.0,40.8217,14.1375,0.85,Revisionato
2019/06/10 20:27:21.72,-0.3,40.8213,14.1415,0.98,Revisionato
2019/06/10 20:43:34.03,0.2,40.8203,14.1402,1.14,Revisionato
2019/06/11 04:17:56.01,1.2,40.8210,14.1377,1.37,Revisionato
2019/06/11 04:18:17.07,0.8,40.8233,14.1353,1.37,Revisionato
2019/06/11 04:29:4.09,0.1,40.8203,14.1355,0.80,Revisionato
2019/06/11 04:29:14.83,1.0,40.8228,14.1365,1.22,Revisionato
